Start,End
16th St. Mission BART,12th St. Oakland City Center BART
19th St. Oakland BART,12th St. Oakland City Center BART
24th St. Mission BART,12th St. Oakland City Center BART
Ashby BART,12th St. Oakland City Center BART
Balboa Park BART,12th St. Oakland City Center BART
Bay Fair  BART,12th St. Oakland City Center BART
Castro Valley BART,12th St. Oakland City Center BART
Civic Center/UN Plaza BART,12th St. Oakland City Center BART
Coliseum/Oakland Airport BART,12th St. Oakland City Center BART
Colma BART,12th St. Oakland City Center BART
Concord BART,12th St. Oakland City Center BART
Daly City BART,12th St. Oakland City Center BART
Downtown Berkeley BART,12th St. Oakland City Center BART
Dublin/Pleasanton BART,12th St. Oakland City Center BART
El Cerrito del Norte BART,12th St. Oakland City Center BART
El Cerrito Plaza BART,12th St. Oakland City Center BART
Embarcadero BART,12th St. Oakland City Center BART
Fremont BART,12th St. Oakland City Center BART
Fruitvale  BART,12th St. Oakland City Center BART
Glen Park BART,12th St. Oakland City Center BART
Hayward BART,12th St. Oakland City Center BART
Lafayette BART,12th St. Oakland City Center BART
Lake Merritt  BART,12th St. Oakland City Center BART
MacArthur  BART,12th St. Oakland City Center BART
Millbrae BART,12th St. Oakland City Center BART
Montgomery St. BART,12th St. Oakland City Center BART
North Berkeley BART,12th St. Oakland City Center BART
North Concord/Martinez BART,12th St. Oakland City Center BART
Orinda BART,12th St. Oakland City Center BART
Pittsburg/Bay Point BART,12th St. Oakland City Center BART
Pleasant Hill/Contra Costa Centre BART,12th St. Oakland City Center BART
Powell St. BART,12th St. Oakland City Center BART
Richmond BART,12th St. Oakland City Center BART
Rockridge  BART,12th St. Oakland City Center BART
San Bruno BART,12th St. Oakland City Center BART
San Francisco Int'l Airport BART,12th St. Oakland City Center BART
San Leandro BART,12th St. Oakland City Center BART
South Hayward BART,12th St. Oakland City Center BART
South San Francisco BART,12th St. Oakland City Center BART
Union City BART,12th St. Oakland City Center BART
Walnut Creek BART,12th St. Oakland City Center BART
West Dublin/Pleasanton BART,12th St. Oakland City Center BART
West Oakland BART,12th St. Oakland City Center BART
12th St. Oakland City Center BART,16th St. Mission BART
19th St. Oakland BART,16th St. Mission BART
24th St. Mission BART,16th St. Mission BART
Ashby BART,16th St. Mission BART
Balboa Park BART,16th St. Mission BART
Bay Fair  BART,16th St. Mission BART
Castro Valley BART,16th St. Mission BART
Civic Center/UN Plaza BART,16th St. Mission BART
Coliseum/Oakland Airport BART,16th St. Mission BART
Colma BART,16th St. Mission BART
Concord BART,16th St. Mission BART
Daly City BART,16th St. Mission BART
Downtown Berkeley BART,16th St. Mission BART
Dublin/Pleasanton BART,16th St. Mission BART
El Cerrito del Norte BART,16th St. Mission BART
El Cerrito Plaza BART,16th St. Mission BART
Embarcadero BART,16th St. Mission BART
Fremont BART,16th St. Mission BART
Fruitvale  BART,16th St. Mission BART
Glen Park BART,16th St. Mission BART
Hayward BART,16th St. Mission BART
Lafayette BART,16th St. Mission BART
Lake Merritt  BART,16th St. Mission BART
MacArthur  BART,16th St. Mission BART
Millbrae BART,16th St. Mission BART
Montgomery St. BART,16th St. Mission BART
North Berkeley BART,16th St. Mission BART
North Concord/Martinez BART,16th St. Mission BART
Orinda BART,16th St. Mission BART
Pittsburg/Bay Point BART,16th St. Mission BART
Pleasant Hill/Contra Costa Centre BART,16th St. Mission BART
Powell St. BART,16th St. Mission BART
Richmond BART,16th St. Mission BART
Rockridge  BART,16th St. Mission BART
San Bruno BART,16th St. Mission BART
San Francisco Int'l Airport BART,16th St. Mission BART
San Leandro BART,16th St. Mission BART
South Hayward BART,16th St. Mission BART
South San Francisco BART,16th St. Mission BART
Union City BART,16th St. Mission BART
Walnut Creek BART,16th St. Mission BART
West Dublin/Pleasanton BART,16th St. Mission BART
West Oakland BART,16th St. Mission BART
12th St. Oakland City Center BART,19th St. Oakland BART
16th St. Mission BART,19th St. Oakland BART
24th St. Mission BART,19th St. Oakland BART
Ashby BART,19th St. Oakland BART
Balboa Park BART,19th St. Oakland BART
Bay Fair  BART,19th St. Oakland BART
Castro Valley BART,19th St. Oakland BART
Civic Center/UN Plaza BART,19th St. Oakland BART
Coliseum/Oakland Airport BART,19th St. Oakland BART
Colma BART,19th St. Oakland BART
Concord BART,19th St. Oakland BART
Daly City BART,19th St. Oakland BART
Downtown Berkeley BART,19th St. Oakland BART
Dublin/Pleasanton BART,19th St. Oakland BART
El Cerrito del Norte BART,19th St. Oakland BART
El Cerrito Plaza BART,19th St. Oakland BART
Embarcadero BART,19th St. Oakland BART
Fremont BART,19th St. Oakland BART
Fruitvale  BART,19th St. Oakland BART
Glen Park BART,19th St. Oakland BART
Hayward BART,19th St. Oakland BART
Lafayette BART,19th St. Oakland BART
Lake Merritt  BART,19th St. Oakland BART
MacArthur  BART,19th St. Oakland BART
Millbrae BART,19th St. Oakland BART
Montgomery St. BART,19th St. Oakland BART
North Berkeley BART,19th St. Oakland BART
North Concord/Martinez BART,19th St. Oakland BART
Orinda BART,19th St. Oakland BART
Pittsburg/Bay Point BART,19th St. Oakland BART
Pleasant Hill/Contra Costa Centre BART,19th St. Oakland BART
Powell St. BART,19th St. Oakland BART
Richmond BART,19th St. Oakland BART
Rockridge  BART,19th St. Oakland BART
San Bruno BART,19th St. Oakland BART
San Francisco Int'l Airport BART,19th St. Oakland BART
San Leandro BART,19th St. Oakland BART
South Hayward BART,19th St. Oakland BART
South San Francisco BART,19th St. Oakland BART
Union City BART,19th St. Oakland BART
Walnut Creek BART,19th St. Oakland BART
West Dublin/Pleasanton BART,19th St. Oakland BART
West Oakland BART,19th St. Oakland BART
12th St. Oakland City Center BART,24th St. Mission BART
16th St. Mission BART,24th St. Mission BART
19th St. Oakland BART,24th St. Mission BART
Ashby BART,24th St. Mission BART
Balboa Park BART,24th St. Mission BART
Bay Fair  BART,24th St. Mission BART
Castro Valley BART,24th St. Mission BART
Civic Center/UN Plaza BART,24th St. Mission BART
Coliseum/Oakland Airport BART,24th St. Mission BART
Colma BART,24th St. Mission BART
Concord BART,24th St. Mission BART
Daly City BART,24th St. Mission BART
Downtown Berkeley BART,24th St. Mission BART
Dublin/Pleasanton BART,24th St. Mission BART
El Cerrito del Norte BART,24th St. Mission BART
El Cerrito Plaza BART,24th St. Mission BART
Embarcadero BART,24th St. Mission BART
Fremont BART,24th St. Mission BART
Fruitvale  BART,24th St. Mission BART
Glen Park BART,24th St. Mission BART
Hayward BART,24th St. Mission BART
Lafayette BART,24th St. Mission BART
Lake Merritt  BART,24th St. Mission BART
MacArthur  BART,24th St. Mission BART
Millbrae BART,24th St. Mission BART
Montgomery St. BART,24th St. Mission BART
North Berkeley BART,24th St. Mission BART
North Concord/Martinez BART,24th St. Mission BART
Orinda BART,24th St. Mission BART
Pittsburg/Bay Point BART,24th St. Mission BART
Pleasant Hill/Contra Costa Centre BART,24th St. Mission BART
Powell St. BART,24th St. Mission BART
Richmond BART,24th St. Mission BART
Rockridge  BART,24th St. Mission BART
San Bruno BART,24th St. Mission BART
San Francisco Int'l Airport BART,24th St. Mission BART
San Leandro BART,24th St. Mission BART
South Hayward BART,24th St. Mission BART
South San Francisco BART,24th St. Mission BART
Union City BART,24th St. Mission BART
Walnut Creek BART,24th St. Mission BART
West Dublin/Pleasanton BART,24th St. Mission BART
West Oakland BART,24th St. Mission BART
12th St. Oakland City Center BART,Ashby BART
16th St. Mission BART,Ashby BART
19th St. Oakland BART,Ashby BART
24th St. Mission BART,Ashby BART
Balboa Park BART,Ashby BART
Bay Fair  BART,Ashby BART
Castro Valley BART,Ashby BART
Civic Center/UN Plaza BART,Ashby BART
Coliseum/Oakland Airport BART,Ashby BART
Colma BART,Ashby BART
Concord BART,Ashby BART
Daly City BART,Ashby BART
Downtown Berkeley BART,Ashby BART
Dublin/Pleasanton BART,Ashby BART
El Cerrito del Norte BART,Ashby BART
El Cerrito Plaza BART,Ashby BART
Embarcadero BART,Ashby BART
Fremont BART,Ashby BART
Fruitvale  BART,Ashby BART
Glen Park BART,Ashby BART
Hayward BART,Ashby BART
Lafayette BART,Ashby BART
Lake Merritt  BART,Ashby BART
MacArthur  BART,Ashby BART
Millbrae BART,Ashby BART
Montgomery St. BART,Ashby BART
North Berkeley BART,Ashby BART
North Concord/Martinez BART,Ashby BART
Orinda BART,Ashby BART
Pittsburg/Bay Point BART,Ashby BART
Pleasant Hill/Contra Costa Centre BART,Ashby BART
Powell St. BART,Ashby BART
Richmond BART,Ashby BART
Rockridge  BART,Ashby BART
San Bruno BART,Ashby BART
San Francisco Int'l Airport BART,Ashby BART
San Leandro BART,Ashby BART
South Hayward BART,Ashby BART
South San Francisco BART,Ashby BART
Union City BART,Ashby BART
Walnut Creek BART,Ashby BART
West Dublin/Pleasanton BART,Ashby BART
West Oakland BART,Ashby BART
12th St. Oakland City Center BART,Balboa Park BART
16th St. Mission BART,Balboa Park BART
19th St. Oakland BART,Balboa Park BART
24th St. Mission BART,Balboa Park BART
Ashby BART,Balboa Park BART
Bay Fair  BART,Balboa Park BART
Castro Valley BART,Balboa Park BART
Civic Center/UN Plaza BART,Balboa Park BART
Coliseum/Oakland Airport BART,Balboa Park BART
Colma BART,Balboa Park BART
Concord BART,Balboa Park BART
Daly City BART,Balboa Park BART
Downtown Berkeley BART,Balboa Park BART
Dublin/Pleasanton BART,Balboa Park BART
El Cerrito del Norte BART,Balboa Park BART
El Cerrito Plaza BART,Balboa Park BART
Embarcadero BART,Balboa Park BART
Fremont BART,Balboa Park BART
Fruitvale  BART,Balboa Park BART
Glen Park BART,Balboa Park BART
Hayward BART,Balboa Park BART
Lafayette BART,Balboa Park BART
Lake Merritt  BART,Balboa Park BART
MacArthur  BART,Balboa Park BART
Millbrae BART,Balboa Park BART
Montgomery St. BART,Balboa Park BART
North Berkeley BART,Balboa Park BART
North Concord/Martinez BART,Balboa Park BART
Orinda BART,Balboa Park BART
Pittsburg/Bay Point BART,Balboa Park BART
Pleasant Hill/Contra Costa Centre BART,Balboa Park BART
Powell St. BART,Balboa Park BART
Richmond BART,Balboa Park BART
Rockridge  BART,Balboa Park BART
San Bruno BART,Balboa Park BART
San Francisco Int'l Airport BART,Balboa Park BART
San Leandro BART,Balboa Park BART
South Hayward BART,Balboa Park BART
South San Francisco BART,Balboa Park BART
Union City BART,Balboa Park BART
Walnut Creek BART,Balboa Park BART
West Dublin/Pleasanton BART,Balboa Park BART
West Oakland BART,Balboa Park BART
12th St. Oakland City Center BART,Bay Fair  BART
16th St. Mission BART,Bay Fair  BART
19th St. Oakland BART,Bay Fair  BART
24th St. Mission BART,Bay Fair  BART
Ashby BART,Bay Fair  BART
Balboa Park BART,Bay Fair  BART
Castro Valley BART,Bay Fair  BART
Civic Center/UN Plaza BART,Bay Fair  BART
Coliseum/Oakland Airport BART,Bay Fair  BART
Colma BART,Bay Fair  BART
Concord BART,Bay Fair  BART
Daly City BART,Bay Fair  BART
Downtown Berkeley BART,Bay Fair  BART
Dublin/Pleasanton BART,Bay Fair  BART
El Cerrito del Norte BART,Bay Fair  BART
El Cerrito Plaza BART,Bay Fair  BART
Embarcadero BART,Bay Fair  BART
Fremont BART,Bay Fair  BART
Fruitvale  BART,Bay Fair  BART
Glen Park BART,Bay Fair  BART
Hayward BART,Bay Fair  BART
Lafayette BART,Bay Fair  BART
Lake Merritt  BART,Bay Fair  BART
MacArthur  BART,Bay Fair  BART
Millbrae BART,Bay Fair  BART
Montgomery St. BART,Bay Fair  BART
North Berkeley BART,Bay Fair  BART
North Concord/Martinez BART,Bay Fair  BART
Orinda BART,Bay Fair  BART
Pittsburg/Bay Point BART,Bay Fair  BART
Pleasant Hill/Contra Costa Centre BART,Bay Fair  BART
Powell St. BART,Bay Fair  BART
Richmond BART,Bay Fair  BART
Rockridge  BART,Bay Fair  BART
San Bruno BART,Bay Fair  BART
San Francisco Int'l Airport BART,Bay Fair  BART
San Leandro BART,Bay Fair  BART
South Hayward BART,Bay Fair  BART
South San Francisco BART,Bay Fair  BART
Union City BART,Bay Fair  BART
Walnut Creek BART,Bay Fair  BART
West Dublin/Pleasanton BART,Bay Fair  BART
West Oakland BART,Bay Fair  BART
12th St. Oakland City Center BART,Castro Valley BART
16th St. Mission BART,Castro Valley BART
19th St. Oakland BART,Castro Valley BART
24th St. Mission BART,Castro Valley BART
Ashby BART,Castro Valley BART
Balboa Park BART,Castro Valley BART
Bay Fair  BART,Castro Valley BART
Civic Center/UN Plaza BART,Castro Valley BART
Coliseum/Oakland Airport BART,Castro Valley BART
Colma BART,Castro Valley BART
Concord BART,Castro Valley BART
Daly City BART,Castro Valley BART
Downtown Berkeley BART,Castro Valley BART
Dublin/Pleasanton BART,Castro Valley BART
El Cerrito del Norte BART,Castro Valley BART
El Cerrito Plaza BART,Castro Valley BART
Embarcadero BART,Castro Valley BART
Fremont BART,Castro Valley BART
Fruitvale  BART,Castro Valley BART
Glen Park BART,Castro Valley BART
Hayward BART,Castro Valley BART
Lafayette BART,Castro Valley BART
Lake Merritt  BART,Castro Valley BART
MacArthur  BART,Castro Valley BART
Millbrae BART,Castro Valley BART
Montgomery St. BART,Castro Valley BART
North Berkeley BART,Castro Valley BART
North Concord/Martinez BART,Castro Valley BART
Orinda BART,Castro Valley BART
Pittsburg/Bay Point BART,Castro Valley BART
Pleasant Hill/Contra Costa Centre BART,Castro Valley BART
Powell St. BART,Castro Valley BART
Richmond BART,Castro Valley BART
Rockridge  BART,Castro Valley BART
San Bruno BART,Castro Valley BART
San Francisco Int'l Airport BART,Castro Valley BART
San Leandro BART,Castro Valley BART
South Hayward BART,Castro Valley BART
South San Francisco BART,Castro Valley BART
Union City BART,Castro Valley BART
Walnut Creek BART,Castro Valley BART
West Dublin/Pleasanton BART,Castro Valley BART
West Oakland BART,Castro Valley BART
12th St. Oakland City Center BART,Civic Center/UN Plaza BART
16th St. Mission BART,Civic Center/UN Plaza BART
19th St. Oakland BART,Civic Center/UN Plaza BART
24th St. Mission BART,Civic Center/UN Plaza BART
Ashby BART,Civic Center/UN Plaza BART
Balboa Park BART,Civic Center/UN Plaza BART
Bay Fair  BART,Civic Center/UN Plaza BART
Castro Valley BART,Civic Center/UN Plaza BART
Coliseum/Oakland Airport BART,Civic Center/UN Plaza BART
Colma BART,Civic Center/UN Plaza BART
Concord BART,Civic Center/UN Plaza BART
Daly City BART,Civic Center/UN Plaza BART
Downtown Berkeley BART,Civic Center/UN Plaza BART
Dublin/Pleasanton BART,Civic Center/UN Plaza BART
El Cerrito del Norte BART,Civic Center/UN Plaza BART
El Cerrito Plaza BART,Civic Center/UN Plaza BART
Embarcadero BART,Civic Center/UN Plaza BART
Fremont BART,Civic Center/UN Plaza BART
Fruitvale  BART,Civic Center/UN Plaza BART
Glen Park BART,Civic Center/UN Plaza BART
Hayward BART,Civic Center/UN Plaza BART
Lafayette BART,Civic Center/UN Plaza BART
Lake Merritt  BART,Civic Center/UN Plaza BART
MacArthur  BART,Civic Center/UN Plaza BART
Millbrae BART,Civic Center/UN Plaza BART
Montgomery St. BART,Civic Center/UN Plaza BART
North Berkeley BART,Civic Center/UN Plaza BART
North Concord/Martinez BART,Civic Center/UN Plaza BART
Orinda BART,Civic Center/UN Plaza BART
Pittsburg/Bay Point BART,Civic Center/UN Plaza BART
Pleasant Hill/Contra Costa Centre BART,Civic Center/UN Plaza BART
Powell St. BART,Civic Center/UN Plaza BART
Richmond BART,Civic Center/UN Plaza BART
Rockridge  BART,Civic Center/UN Plaza BART
San Bruno BART,Civic Center/UN Plaza BART
San Francisco Int'l Airport BART,Civic Center/UN Plaza BART
San Leandro BART,Civic Center/UN Plaza BART
South Hayward BART,Civic Center/UN Plaza BART
South San Francisco BART,Civic Center/UN Plaza BART
Union City BART,Civic Center/UN Plaza BART
Walnut Creek BART,Civic Center/UN Plaza BART
West Dublin/Pleasanton BART,Civic Center/UN Plaza BART
West Oakland BART,Civic Center/UN Plaza BART
12th St. Oakland City Center BART,Coliseum/Oakland Airport BART
16th St. Mission BART,Coliseum/Oakland Airport BART
19th St. Oakland BART,Coliseum/Oakland Airport BART
24th St. Mission BART,Coliseum/Oakland Airport BART
Ashby BART,Coliseum/Oakland Airport BART
Balboa Park BART,Coliseum/Oakland Airport BART
Bay Fair  BART,Coliseum/Oakland Airport BART
Castro Valley BART,Coliseum/Oakland Airport BART
Civic Center/UN Plaza BART,Coliseum/Oakland Airport BART
Colma BART,Coliseum/Oakland Airport BART
Concord BART,Coliseum/Oakland Airport BART
Daly City BART,Coliseum/Oakland Airport BART
Downtown Berkeley BART,Coliseum/Oakland Airport BART
Dublin/Pleasanton BART,Coliseum/Oakland Airport BART
El Cerrito del Norte BART,Coliseum/Oakland Airport BART
El Cerrito Plaza BART,Coliseum/Oakland Airport BART
Embarcadero BART,Coliseum/Oakland Airport BART
Fremont BART,Coliseum/Oakland Airport BART
Fruitvale  BART,Coliseum/Oakland Airport BART
Glen Park BART,Coliseum/Oakland Airport BART
Hayward BART,Coliseum/Oakland Airport BART
Lafayette BART,Coliseum/Oakland Airport BART
Lake Merritt  BART,Coliseum/Oakland Airport BART
MacArthur  BART,Coliseum/Oakland Airport BART
Millbrae BART,Coliseum/Oakland Airport BART
Montgomery St. BART,Coliseum/Oakland Airport BART
North Berkeley BART,Coliseum/Oakland Airport BART
North Concord/Martinez BART,Coliseum/Oakland Airport BART
Orinda BART,Coliseum/Oakland Airport BART
Pittsburg/Bay Point BART,Coliseum/Oakland Airport BART
Pleasant Hill/Contra Costa Centre BART,Coliseum/Oakland Airport BART
Powell St. BART,Coliseum/Oakland Airport BART
Richmond BART,Coliseum/Oakland Airport BART
Rockridge  BART,Coliseum/Oakland Airport BART
San Bruno BART,Coliseum/Oakland Airport BART
San Francisco Int'l Airport BART,Coliseum/Oakland Airport BART
San Leandro BART,Coliseum/Oakland Airport BART
South Hayward BART,Coliseum/Oakland Airport BART
South San Francisco BART,Coliseum/Oakland Airport BART
Union City BART,Coliseum/Oakland Airport BART
Walnut Creek BART,Coliseum/Oakland Airport BART
West Dublin/Pleasanton BART,Coliseum/Oakland Airport BART
West Oakland BART,Coliseum/Oakland Airport BART
12th St. Oakland City Center BART,Colma BART
16th St. Mission BART,Colma BART
19th St. Oakland BART,Colma BART
24th St. Mission BART,Colma BART
Ashby BART,Colma BART
Balboa Park BART,Colma BART
Bay Fair  BART,Colma BART
Castro Valley BART,Colma BART
Civic Center/UN Plaza BART,Colma BART
Coliseum/Oakland Airport BART,Colma BART
Concord BART,Colma BART
Daly City BART,Colma BART
Downtown Berkeley BART,Colma BART
Dublin/Pleasanton BART,Colma BART
El Cerrito del Norte BART,Colma BART
El Cerrito Plaza BART,Colma BART
Embarcadero BART,Colma BART
Fremont BART,Colma BART
Fruitvale  BART,Colma BART
Glen Park BART,Colma BART
Hayward BART,Colma BART
Lafayette BART,Colma BART
Lake Merritt  BART,Colma BART
MacArthur  BART,Colma BART
Millbrae BART,Colma BART
Montgomery St. BART,Colma BART
North Berkeley BART,Colma BART
North Concord/Martinez BART,Colma BART
Orinda BART,Colma BART
Pittsburg/Bay Point BART,Colma BART
Pleasant Hill/Contra Costa Centre BART,Colma BART
Powell St. BART,Colma BART
Richmond BART,Colma BART
Rockridge  BART,Colma BART
San Bruno BART,Colma BART
San Francisco Int'l Airport BART,Colma BART
San Leandro BART,Colma BART
South Hayward BART,Colma BART
South San Francisco BART,Colma BART
Union City BART,Colma BART
Walnut Creek BART,Colma BART
West Dublin/Pleasanton BART,Colma BART
West Oakland BART,Colma BART
12th St. Oakland City Center BART,Concord BART
16th St. Mission BART,Concord BART
19th St. Oakland BART,Concord BART
24th St. Mission BART,Concord BART
Ashby BART,Concord BART
Balboa Park BART,Concord BART
Bay Fair  BART,Concord BART
Castro Valley BART,Concord BART
Civic Center/UN Plaza BART,Concord BART
Coliseum/Oakland Airport BART,Concord BART
Colma BART,Concord BART
Daly City BART,Concord BART
Downtown Berkeley BART,Concord BART
Dublin/Pleasanton BART,Concord BART
El Cerrito del Norte BART,Concord BART
El Cerrito Plaza BART,Concord BART
Embarcadero BART,Concord BART
Fremont BART,Concord BART
Fruitvale  BART,Concord BART
Glen Park BART,Concord BART
Hayward BART,Concord BART
Lafayette BART,Concord BART
Lake Merritt  BART,Concord BART
MacArthur  BART,Concord BART
Millbrae BART,Concord BART
Montgomery St. BART,Concord BART
North Berkeley BART,Concord BART
North Concord/Martinez BART,Concord BART
Orinda BART,Concord BART
Pittsburg/Bay Point BART,Concord BART
Pleasant Hill/Contra Costa Centre BART,Concord BART
Powell St. BART,Concord BART
Richmond BART,Concord BART
Rockridge  BART,Concord BART
San Bruno BART,Concord BART
San Francisco Int'l Airport BART,Concord BART
San Leandro BART,Concord BART
South Hayward BART,Concord BART
South San Francisco BART,Concord BART
Union City BART,Concord BART
Walnut Creek BART,Concord BART
West Dublin/Pleasanton BART,Concord BART
West Oakland BART,Concord BART
12th St. Oakland City Center BART,Daly City BART
16th St. Mission BART,Daly City BART
19th St. Oakland BART,Daly City BART
24th St. Mission BART,Daly City BART
Ashby BART,Daly City BART
Balboa Park BART,Daly City BART
Bay Fair  BART,Daly City BART
Castro Valley BART,Daly City BART
Civic Center/UN Plaza BART,Daly City BART
Coliseum/Oakland Airport BART,Daly City BART
Colma BART,Daly City BART
Concord BART,Daly City BART
Downtown Berkeley BART,Daly City BART
Dublin/Pleasanton BART,Daly City BART
El Cerrito del Norte BART,Daly City BART
El Cerrito Plaza BART,Daly City BART
Embarcadero BART,Daly City BART
Fremont BART,Daly City BART
Fruitvale  BART,Daly City BART
Glen Park BART,Daly City BART
Hayward BART,Daly City BART
Lafayette BART,Daly City BART
Lake Merritt  BART,Daly City BART
MacArthur  BART,Daly City BART
Millbrae BART,Daly City BART
Montgomery St. BART,Daly City BART
North Berkeley BART,Daly City BART
North Concord/Martinez BART,Daly City BART
Orinda BART,Daly City BART
Pittsburg/Bay Point BART,Daly City BART
Pleasant Hill/Contra Costa Centre BART,Daly City BART
Powell St. BART,Daly City BART
Richmond BART,Daly City BART
Rockridge  BART,Daly City BART
San Bruno BART,Daly City BART
San Francisco Int'l Airport BART,Daly City BART
San Leandro BART,Daly City BART
South Hayward BART,Daly City BART
South San Francisco BART,Daly City BART
Union City BART,Daly City BART
Walnut Creek BART,Daly City BART
West Dublin/Pleasanton BART,Daly City BART
West Oakland BART,Daly City BART
12th St. Oakland City Center BART,Downtown Berkeley BART
16th St. Mission BART,Downtown Berkeley BART
19th St. Oakland BART,Downtown Berkeley BART
24th St. Mission BART,Downtown Berkeley BART
Ashby BART,Downtown Berkeley BART
Balboa Park BART,Downtown Berkeley BART
Bay Fair  BART,Downtown Berkeley BART
Castro Valley BART,Downtown Berkeley BART
Civic Center/UN Plaza BART,Downtown Berkeley BART
Coliseum/Oakland Airport BART,Downtown Berkeley BART
Colma BART,Downtown Berkeley BART
Concord BART,Downtown Berkeley BART
Daly City BART,Downtown Berkeley BART
Dublin/Pleasanton BART,Downtown Berkeley BART
El Cerrito del Norte BART,Downtown Berkeley BART
El Cerrito Plaza BART,Downtown Berkeley BART
Embarcadero BART,Downtown Berkeley BART
Fremont BART,Downtown Berkeley BART
Fruitvale  BART,Downtown Berkeley BART
Glen Park BART,Downtown Berkeley BART
Hayward BART,Downtown Berkeley BART
Lafayette BART,Downtown Berkeley BART
Lake Merritt  BART,Downtown Berkeley BART
MacArthur  BART,Downtown Berkeley BART
Millbrae BART,Downtown Berkeley BART
Montgomery St. BART,Downtown Berkeley BART
North Berkeley BART,Downtown Berkeley BART
North Concord/Martinez BART,Downtown Berkeley BART
Orinda BART,Downtown Berkeley BART
Pittsburg/Bay Point BART,Downtown Berkeley BART
Pleasant Hill/Contra Costa Centre BART,Downtown Berkeley BART
Powell St. BART,Downtown Berkeley BART
Richmond BART,Downtown Berkeley BART
Rockridge  BART,Downtown Berkeley BART
San Bruno BART,Downtown Berkeley BART
San Francisco Int'l Airport BART,Downtown Berkeley BART
San Leandro BART,Downtown Berkeley BART
South Hayward BART,Downtown Berkeley BART
South San Francisco BART,Downtown Berkeley BART
Union City BART,Downtown Berkeley BART
Walnut Creek BART,Downtown Berkeley BART
West Dublin/Pleasanton BART,Downtown Berkeley BART
West Oakland BART,Downtown Berkeley BART
12th St. Oakland City Center BART,Dublin/Pleasanton BART
16th St. Mission BART,Dublin/Pleasanton BART
19th St. Oakland BART,Dublin/Pleasanton BART
24th St. Mission BART,Dublin/Pleasanton BART
Ashby BART,Dublin/Pleasanton BART
Balboa Park BART,Dublin/Pleasanton BART
Bay Fair  BART,Dublin/Pleasanton BART
Castro Valley BART,Dublin/Pleasanton BART
Civic Center/UN Plaza BART,Dublin/Pleasanton BART
Coliseum/Oakland Airport BART,Dublin/Pleasanton BART
Colma BART,Dublin/Pleasanton BART
Concord BART,Dublin/Pleasanton BART
Daly City BART,Dublin/Pleasanton BART
Downtown Berkeley BART,Dublin/Pleasanton BART
El Cerrito del Norte BART,Dublin/Pleasanton BART
El Cerrito Plaza BART,Dublin/Pleasanton BART
Embarcadero BART,Dublin/Pleasanton BART
Fremont BART,Dublin/Pleasanton BART
Fruitvale  BART,Dublin/Pleasanton BART
Glen Park BART,Dublin/Pleasanton BART
Hayward BART,Dublin/Pleasanton BART
Lafayette BART,Dublin/Pleasanton BART
