Start,End
Lake Merritt  BART,Dublin/Pleasanton BART
MacArthur  BART,Dublin/Pleasanton BART
Millbrae BART,Dublin/Pleasanton BART
Montgomery St. BART,Dublin/Pleasanton BART
North Berkeley BART,Dublin/Pleasanton BART
North Concord/Martinez BART,Dublin/Pleasanton BART
Orinda BART,Dublin/Pleasanton BART
Pittsburg/Bay Point BART,Dublin/Pleasanton BART
Pleasant Hill/Contra Costa Centre BART,Dublin/Pleasanton BART
Powell St. BART,Dublin/Pleasanton BART
Richmond BART,Dublin/Pleasanton BART
Rockridge  BART,Dublin/Pleasanton BART
San Bruno BART,Dublin/Pleasanton BART
San Francisco Int'l Airport BART,Dublin/Pleasanton BART
San Leandro BART,Dublin/Pleasanton BART
South Hayward BART,Dublin/Pleasanton BART
South San Francisco BART,Dublin/Pleasanton BART
Union City BART,Dublin/Pleasanton BART
Walnut Creek BART,Dublin/Pleasanton BART
West Dublin/Pleasanton BART,Dublin/Pleasanton BART
West Oakland BART,Dublin/Pleasanton BART
12th St. Oakland City Center BART,El Cerrito del Norte BART
16th St. Mission BART,El Cerrito del Norte BART
19th St. Oakland BART,El Cerrito del Norte BART
24th St. Mission BART,El Cerrito del Norte BART
Ashby BART,El Cerrito del Norte BART
Balboa Park BART,El Cerrito del Norte BART
Bay Fair  BART,El Cerrito del Norte BART
Castro Valley BART,El Cerrito del Norte BART
Civic Center/UN Plaza BART,El Cerrito del Norte BART
Coliseum/Oakland Airport BART,El Cerrito del Norte BART
Colma BART,El Cerrito del Norte BART
Concord BART,El Cerrito del Norte BART
Daly City BART,El Cerrito del Norte BART
Downtown Berkeley BART,El Cerrito del Norte BART
Dublin/Pleasanton BART,El Cerrito del Norte BART
El Cerrito Plaza BART,El Cerrito del Norte BART
Embarcadero BART,El Cerrito del Norte BART
Fremont BART,El Cerrito del Norte BART
Fruitvale  BART,El Cerrito del Norte BART
Glen Park BART,El Cerrito del Norte BART
Hayward BART,El Cerrito del Norte BART
Lafayette BART,El Cerrito del Norte BART
Lake Merritt  BART,El Cerrito del Norte BART
MacArthur  BART,El Cerrito del Norte BART
Millbrae BART,El Cerrito del Norte BART
Montgomery St. BART,El Cerrito del Norte BART
North Berkeley BART,El Cerrito del Norte BART
North Concord/Martinez BART,El Cerrito del Norte BART
Orinda BART,El Cerrito del Norte BART
Pittsburg/Bay Point BART,El Cerrito del Norte BART
Pleasant Hill/Contra Costa Centre BART,El Cerrito del Norte BART
Powell St. BART,El Cerrito del Norte BART
Richmond BART,El Cerrito del Norte BART
Rockridge  BART,El Cerrito del Norte BART
San Bruno BART,El Cerrito del Norte BART
San Francisco Int'l Airport BART,El Cerrito del Norte BART
San Leandro BART,El Cerrito del Norte BART
South Hayward BART,El Cerrito del Norte BART
South San Francisco BART,El Cerrito del Norte BART
Union City BART,El Cerrito del Norte BART
Walnut Creek BART,El Cerrito del Norte BART
West Dublin/Pleasanton BART,El Cerrito del Norte BART
West Oakland BART,El Cerrito del Norte BART
12th St. Oakland City Center BART,El Cerrito Plaza BART
16th St. Mission BART,El Cerrito Plaza BART
19th St. Oakland BART,El Cerrito Plaza BART
24th St. Mission BART,El Cerrito Plaza BART
Ashby BART,El Cerrito Plaza BART
Balboa Park BART,El Cerrito Plaza BART
Bay Fair  BART,El Cerrito Plaza BART
Castro Valley BART,El Cerrito Plaza BART
Civic Center/UN Plaza BART,El Cerrito Plaza BART
Coliseum/Oakland Airport BART,El Cerrito Plaza BART
Colma BART,El Cerrito Plaza BART
Concord BART,El Cerrito Plaza BART
Daly City BART,El Cerrito Plaza BART
Downtown Berkeley BART,El Cerrito Plaza BART
Dublin/Pleasanton BART,El Cerrito Plaza BART
El Cerrito del Norte BART,El Cerrito Plaza BART
Embarcadero BART,El Cerrito Plaza BART
Fremont BART,El Cerrito Plaza BART
Fruitvale  BART,El Cerrito Plaza BART
Glen Park BART,El Cerrito Plaza BART
Hayward BART,El Cerrito Plaza BART
Lafayette BART,El Cerrito Plaza BART
Lake Merritt  BART,El Cerrito Plaza BART
MacArthur  BART,El Cerrito Plaza BART
Millbrae BART,El Cerrito Plaza BART
Montgomery St. BART,El Cerrito Plaza BART
North Berkeley BART,El Cerrito Plaza BART
North Concord/Martinez BART,El Cerrito Plaza BART
Orinda BART,El Cerrito Plaza BART
Pittsburg/Bay Point BART,El Cerrito Plaza BART
Pleasant Hill/Contra Costa Centre BART,El Cerrito Plaza BART
Powell St. BART,El Cerrito Plaza BART
Richmond BART,El Cerrito Plaza BART
Rockridge  BART,El Cerrito Plaza BART
San Bruno BART,El Cerrito Plaza BART
San Francisco Int'l Airport BART,El Cerrito Plaza BART
San Leandro BART,El Cerrito Plaza BART
South Hayward BART,El Cerrito Plaza BART
South San Francisco BART,El Cerrito Plaza BART
Union City BART,El Cerrito Plaza BART
Walnut Creek BART,El Cerrito Plaza BART
West Dublin/Pleasanton BART,El Cerrito Plaza BART
West Oakland BART,El Cerrito Plaza BART
12th St. Oakland City Center BART,Embarcadero BART
16th St. Mission BART,Embarcadero BART
19th St. Oakland BART,Embarcadero BART
24th St. Mission BART,Embarcadero BART
Ashby BART,Embarcadero BART
Balboa Park BART,Embarcadero BART
Bay Fair  BART,Embarcadero BART
Castro Valley BART,Embarcadero BART
Civic Center/UN Plaza BART,Embarcadero BART
Coliseum/Oakland Airport BART,Embarcadero BART
Colma BART,Embarcadero BART
Concord BART,Embarcadero BART
Daly City BART,Embarcadero BART
Downtown Berkeley BART,Embarcadero BART
Dublin/Pleasanton BART,Embarcadero BART
El Cerrito del Norte BART,Embarcadero BART
El Cerrito Plaza BART,Embarcadero BART
Fremont BART,Embarcadero BART
Fruitvale  BART,Embarcadero BART
Glen Park BART,Embarcadero BART
Hayward BART,Embarcadero BART
Lafayette BART,Embarcadero BART
Lake Merritt  BART,Embarcadero BART
MacArthur  BART,Embarcadero BART
Millbrae BART,Embarcadero BART
Montgomery St. BART,Embarcadero BART
North Berkeley BART,Embarcadero BART
North Concord/Martinez BART,Embarcadero BART
Orinda BART,Embarcadero BART
Pittsburg/Bay Point BART,Embarcadero BART
Pleasant Hill/Contra Costa Centre BART,Embarcadero BART
Powell St. BART,Embarcadero BART
Richmond BART,Embarcadero BART
Rockridge  BART,Embarcadero BART
San Bruno BART,Embarcadero BART
San Francisco Int'l Airport BART,Embarcadero BART
San Leandro BART,Embarcadero BART
South Hayward BART,Embarcadero BART
South San Francisco BART,Embarcadero BART
Union City BART,Embarcadero BART
Walnut Creek BART,Embarcadero BART
West Dublin/Pleasanton BART,Embarcadero BART
West Oakland BART,Embarcadero BART
12th St. Oakland City Center BART,Fremont BART
16th St. Mission BART,Fremont BART
19th St. Oakland BART,Fremont BART
24th St. Mission BART,Fremont BART
Ashby BART,Fremont BART
Balboa Park BART,Fremont BART
Bay Fair  BART,Fremont BART
Castro Valley BART,Fremont BART
Civic Center/UN Plaza BART,Fremont BART
Coliseum/Oakland Airport BART,Fremont BART
Colma BART,Fremont BART
Concord BART,Fremont BART
Daly City BART,Fremont BART
Downtown Berkeley BART,Fremont BART
Dublin/Pleasanton BART,Fremont BART
El Cerrito del Norte BART,Fremont BART
El Cerrito Plaza BART,Fremont BART
Embarcadero BART,Fremont BART
Fruitvale  BART,Fremont BART
Glen Park BART,Fremont BART
Hayward BART,Fremont BART
Lafayette BART,Fremont BART
Lake Merritt  BART,Fremont BART
MacArthur  BART,Fremont BART
Millbrae BART,Fremont BART
Montgomery St. BART,Fremont BART
North Berkeley BART,Fremont BART
North Concord/Martinez BART,Fremont BART
Orinda BART,Fremont BART
Pittsburg/Bay Point BART,Fremont BART
Pleasant Hill/Contra Costa Centre BART,Fremont BART
Powell St. BART,Fremont BART
Richmond BART,Fremont BART
Rockridge  BART,Fremont BART
San Bruno BART,Fremont BART
San Francisco Int'l Airport BART,Fremont BART
San Leandro BART,Fremont BART
South Hayward BART,Fremont BART
South San Francisco BART,Fremont BART
Union City BART,Fremont BART
Walnut Creek BART,Fremont BART
West Dublin/Pleasanton BART,Fremont BART
West Oakland BART,Fremont BART
12th St. Oakland City Center BART,Fruitvale  BART
16th St. Mission BART,Fruitvale  BART
19th St. Oakland BART,Fruitvale  BART
24th St. Mission BART,Fruitvale  BART
Ashby BART,Fruitvale  BART
Balboa Park BART,Fruitvale  BART
Bay Fair  BART,Fruitvale  BART
Castro Valley BART,Fruitvale  BART
Civic Center/UN Plaza BART,Fruitvale  BART
Coliseum/Oakland Airport BART,Fruitvale  BART
Colma BART,Fruitvale  BART
Concord BART,Fruitvale  BART
Daly City BART,Fruitvale  BART
Downtown Berkeley BART,Fruitvale  BART
Dublin/Pleasanton BART,Fruitvale  BART
El Cerrito del Norte BART,Fruitvale  BART
El Cerrito Plaza BART,Fruitvale  BART
Embarcadero BART,Fruitvale  BART
Fremont BART,Fruitvale  BART
Glen Park BART,Fruitvale  BART
Hayward BART,Fruitvale  BART
Lafayette BART,Fruitvale  BART
Lake Merritt  BART,Fruitvale  BART
MacArthur  BART,Fruitvale  BART
Millbrae BART,Fruitvale  BART
Montgomery St. BART,Fruitvale  BART
North Berkeley BART,Fruitvale  BART
North Concord/Martinez BART,Fruitvale  BART
Orinda BART,Fruitvale  BART
Pittsburg/Bay Point BART,Fruitvale  BART
Pleasant Hill/Contra Costa Centre BART,Fruitvale  BART
Powell St. BART,Fruitvale  BART
Richmond BART,Fruitvale  BART
Rockridge  BART,Fruitvale  BART
San Bruno BART,Fruitvale  BART
San Francisco Int'l Airport BART,Fruitvale  BART
San Leandro BART,Fruitvale  BART
South Hayward BART,Fruitvale  BART
South San Francisco BART,Fruitvale  BART
Union City BART,Fruitvale  BART
Walnut Creek BART,Fruitvale  BART
West Dublin/Pleasanton BART,Fruitvale  BART
West Oakland BART,Fruitvale  BART
12th St. Oakland City Center BART,Glen Park BART
16th St. Mission BART,Glen Park BART
19th St. Oakland BART,Glen Park BART
24th St. Mission BART,Glen Park BART
Ashby BART,Glen Park BART
Balboa Park BART,Glen Park BART
Bay Fair  BART,Glen Park BART
Castro Valley BART,Glen Park BART
Civic Center/UN Plaza BART,Glen Park BART
Coliseum/Oakland Airport BART,Glen Park BART
Colma BART,Glen Park BART
Concord BART,Glen Park BART
Daly City BART,Glen Park BART
Downtown Berkeley BART,Glen Park BART
Dublin/Pleasanton BART,Glen Park BART
El Cerrito del Norte BART,Glen Park BART
El Cerrito Plaza BART,Glen Park BART
Embarcadero BART,Glen Park BART
Fremont BART,Glen Park BART
Fruitvale  BART,Glen Park BART
Hayward BART,Glen Park BART
Lafayette BART,Glen Park BART
Lake Merritt  BART,Glen Park BART
MacArthur  BART,Glen Park BART
Millbrae BART,Glen Park BART
Montgomery St. BART,Glen Park BART
North Berkeley BART,Glen Park BART
North Concord/Martinez BART,Glen Park BART
Orinda BART,Glen Park BART
Pittsburg/Bay Point BART,Glen Park BART
Pleasant Hill/Contra Costa Centre BART,Glen Park BART
Powell St. BART,Glen Park BART
Richmond BART,Glen Park BART
Rockridge  BART,Glen Park BART
San Bruno BART,Glen Park BART
San Francisco Int'l Airport BART,Glen Park BART
San Leandro BART,Glen Park BART
South Hayward BART,Glen Park BART
South San Francisco BART,Glen Park BART
Union City BART,Glen Park BART
Walnut Creek BART,Glen Park BART
West Dublin/Pleasanton BART,Glen Park BART
West Oakland BART,Glen Park BART
12th St. Oakland City Center BART,Hayward BART
16th St. Mission BART,Hayward BART
19th St. Oakland BART,Hayward BART
24th St. Mission BART,Hayward BART
Ashby BART,Hayward BART
Balboa Park BART,Hayward BART
Bay Fair  BART,Hayward BART
Castro Valley BART,Hayward BART
Civic Center/UN Plaza BART,Hayward BART
Coliseum/Oakland Airport BART,Hayward BART
Colma BART,Hayward BART
Concord BART,Hayward BART
Daly City BART,Hayward BART
Downtown Berkeley BART,Hayward BART
Dublin/Pleasanton BART,Hayward BART
El Cerrito del Norte BART,Hayward BART
El Cerrito Plaza BART,Hayward BART
Embarcadero BART,Hayward BART
Fremont BART,Hayward BART
Fruitvale  BART,Hayward BART
Glen Park BART,Hayward BART
Lafayette BART,Hayward BART
Lake Merritt  BART,Hayward BART
MacArthur  BART,Hayward BART
Millbrae BART,Hayward BART
Montgomery St. BART,Hayward BART
North Berkeley BART,Hayward BART
North Concord/Martinez BART,Hayward BART
Orinda BART,Hayward BART
Pittsburg/Bay Point BART,Hayward BART
Pleasant Hill/Contra Costa Centre BART,Hayward BART
Powell St. BART,Hayward BART
Richmond BART,Hayward BART
Rockridge  BART,Hayward BART
San Bruno BART,Hayward BART
San Francisco Int'l Airport BART,Hayward BART
San Leandro BART,Hayward BART
South Hayward BART,Hayward BART
South San Francisco BART,Hayward BART
Union City BART,Hayward BART
Walnut Creek BART,Hayward BART
West Dublin/Pleasanton BART,Hayward BART
West Oakland BART,Hayward BART
12th St. Oakland City Center BART,Lafayette BART
16th St. Mission BART,Lafayette BART
19th St. Oakland BART,Lafayette BART
24th St. Mission BART,Lafayette BART
Ashby BART,Lafayette BART
Balboa Park BART,Lafayette BART
Bay Fair  BART,Lafayette BART
Castro Valley BART,Lafayette BART
Civic Center/UN Plaza BART,Lafayette BART
Coliseum/Oakland Airport BART,Lafayette BART
Colma BART,Lafayette BART
Concord BART,Lafayette BART
Daly City BART,Lafayette BART
Downtown Berkeley BART,Lafayette BART
Dublin/Pleasanton BART,Lafayette BART
El Cerrito del Norte BART,Lafayette BART
El Cerrito Plaza BART,Lafayette BART
Embarcadero BART,Lafayette BART
Fremont BART,Lafayette BART
Fruitvale  BART,Lafayette BART
Glen Park BART,Lafayette BART
Hayward BART,Lafayette BART
Lake Merritt  BART,Lafayette BART
MacArthur  BART,Lafayette BART
Millbrae BART,Lafayette BART
Montgomery St. BART,Lafayette BART
North Berkeley BART,Lafayette BART
North Concord/Martinez BART,Lafayette BART
Orinda BART,Lafayette BART
Pittsburg/Bay Point BART,Lafayette BART
Pleasant Hill/Contra Costa Centre BART,Lafayette BART
Powell St. BART,Lafayette BART
Richmond BART,Lafayette BART
Rockridge  BART,Lafayette BART
San Bruno BART,Lafayette BART
San Francisco Int'l Airport BART,Lafayette BART
San Leandro BART,Lafayette BART
South Hayward BART,Lafayette BART
South San Francisco BART,Lafayette BART
Union City BART,Lafayette BART
Walnut Creek BART,Lafayette BART
West Dublin/Pleasanton BART,Lafayette BART
West Oakland BART,Lafayette BART
12th St. Oakland City Center BART,Lake Merritt  BART
16th St. Mission BART,Lake Merritt  BART
19th St. Oakland BART,Lake Merritt  BART
24th St. Mission BART,Lake Merritt  BART
Ashby BART,Lake Merritt  BART
Balboa Park BART,Lake Merritt  BART
Bay Fair  BART,Lake Merritt  BART
Castro Valley BART,Lake Merritt  BART
Civic Center/UN Plaza BART,Lake Merritt  BART
Coliseum/Oakland Airport BART,Lake Merritt  BART
Colma BART,Lake Merritt  BART
Concord BART,Lake Merritt  BART
Daly City BART,Lake Merritt  BART
Downtown Berkeley BART,Lake Merritt  BART
Dublin/Pleasanton BART,Lake Merritt  BART
El Cerrito del Norte BART,Lake Merritt  BART
El Cerrito Plaza BART,Lake Merritt  BART
Embarcadero BART,Lake Merritt  BART
Fremont BART,Lake Merritt  BART
Fruitvale  BART,Lake Merritt  BART
Glen Park BART,Lake Merritt  BART
Hayward BART,Lake Merritt  BART
Lafayette BART,Lake Merritt  BART
MacArthur  BART,Lake Merritt  BART
Millbrae BART,Lake Merritt  BART
Montgomery St. BART,Lake Merritt  BART
North Berkeley BART,Lake Merritt  BART
North Concord/Martinez BART,Lake Merritt  BART
Orinda BART,Lake Merritt  BART
Pittsburg/Bay Point BART,Lake Merritt  BART
Pleasant Hill/Contra Costa Centre BART,Lake Merritt  BART
Powell St. BART,Lake Merritt  BART
Richmond BART,Lake Merritt  BART
Rockridge  BART,Lake Merritt  BART
San Bruno BART,Lake Merritt  BART
San Francisco Int'l Airport BART,Lake Merritt  BART
San Leandro BART,Lake Merritt  BART
South Hayward BART,Lake Merritt  BART
South San Francisco BART,Lake Merritt  BART
Union City BART,Lake Merritt  BART
Walnut Creek BART,Lake Merritt  BART
West Dublin/Pleasanton BART,Lake Merritt  BART
West Oakland BART,Lake Merritt  BART
12th St. Oakland City Center BART,MacArthur  BART
16th St. Mission BART,MacArthur  BART
19th St. Oakland BART,MacArthur  BART
24th St. Mission BART,MacArthur  BART
Ashby BART,MacArthur  BART
Balboa Park BART,MacArthur  BART
Bay Fair  BART,MacArthur  BART
Castro Valley BART,MacArthur  BART
Civic Center/UN Plaza BART,MacArthur  BART
Coliseum/Oakland Airport BART,MacArthur  BART
Colma BART,MacArthur  BART
Concord BART,MacArthur  BART
Daly City BART,MacArthur  BART
Downtown Berkeley BART,MacArthur  BART
Dublin/Pleasanton BART,MacArthur  BART
El Cerrito del Norte BART,MacArthur  BART
El Cerrito Plaza BART,MacArthur  BART
Embarcadero BART,MacArthur  BART
Fremont BART,MacArthur  BART
Fruitvale  BART,MacArthur  BART
Glen Park BART,MacArthur  BART
Hayward BART,MacArthur  BART
Lafayette BART,MacArthur  BART
Lake Merritt  BART,MacArthur  BART
Millbrae BART,MacArthur  BART
Montgomery St. BART,MacArthur  BART
North Berkeley BART,MacArthur  BART
North Concord/Martinez BART,MacArthur  BART
Orinda BART,MacArthur  BART
Pittsburg/Bay Point BART,MacArthur  BART
Pleasant Hill/Contra Costa Centre BART,MacArthur  BART
Powell St. BART,MacArthur  BART
Richmond BART,MacArthur  BART
Rockridge  BART,MacArthur  BART
San Bruno BART,MacArthur  BART
San Francisco Int'l Airport BART,MacArthur  BART
San Leandro BART,MacArthur  BART
South Hayward BART,MacArthur  BART
South San Francisco BART,MacArthur  BART
Union City BART,MacArthur  BART
Walnut Creek BART,MacArthur  BART
West Dublin/Pleasanton BART,MacArthur  BART
West Oakland BART,MacArthur  BART
12th St. Oakland City Center BART,Millbrae BART
16th St. Mission BART,Millbrae BART
19th St. Oakland BART,Millbrae BART
24th St. Mission BART,Millbrae BART
Ashby BART,Millbrae BART
Balboa Park BART,Millbrae BART
Bay Fair  BART,Millbrae BART
Castro Valley BART,Millbrae BART
Civic Center/UN Plaza BART,Millbrae BART
Coliseum/Oakland Airport BART,Millbrae BART
Colma BART,Millbrae BART
Concord BART,Millbrae BART
Daly City BART,Millbrae BART
Downtown Berkeley BART,Millbrae BART
Dublin/Pleasanton BART,Millbrae BART
El Cerrito del Norte BART,Millbrae BART
El Cerrito Plaza BART,Millbrae BART
Embarcadero BART,Millbrae BART
Fremont BART,Millbrae BART
Fruitvale  BART,Millbrae BART
Glen Park BART,Millbrae BART
Hayward BART,Millbrae BART
Lafayette BART,Millbrae BART
Lake Merritt  BART,Millbrae BART
MacArthur  BART,Millbrae BART
Montgomery St. BART,Millbrae BART
North Berkeley BART,Millbrae BART
North Concord/Martinez BART,Millbrae BART
Orinda BART,Millbrae BART
Pittsburg/Bay Point BART,Millbrae BART
Pleasant Hill/Contra Costa Centre BART,Millbrae BART
Powell St. BART,Millbrae BART
Richmond BART,Millbrae BART
Rockridge  BART,Millbrae BART
San Bruno BART,Millbrae BART
San Francisco Int'l Airport BART,Millbrae BART
San Leandro BART,Millbrae BART
South Hayward BART,Millbrae BART
South San Francisco BART,Millbrae BART
Union City BART,Millbrae BART
Walnut Creek BART,Millbrae BART
West Dublin/Pleasanton BART,Millbrae BART
West Oakland BART,Millbrae BART
12th St. Oakland City Center BART,Montgomery St. BART
16th St. Mission BART,Montgomery St. BART
19th St. Oakland BART,Montgomery St. BART
24th St. Mission BART,Montgomery St. BART
Ashby BART,Montgomery St. BART
Balboa Park BART,Montgomery St. BART
Bay Fair  BART,Montgomery St. BART
Castro Valley BART,Montgomery St. BART
Civic Center/UN Plaza BART,Montgomery St. BART
Coliseum/Oakland Airport BART,Montgomery St. BART
Colma BART,Montgomery St. BART
Concord BART,Montgomery St. BART
Daly City BART,Montgomery St. BART
Downtown Berkeley BART,Montgomery St. BART
Dublin/Pleasanton BART,Montgomery St. BART
El Cerrito del Norte BART,Montgomery St. BART
El Cerrito Plaza BART,Montgomery St. BART
Embarcadero BART,Montgomery St. BART
Fremont BART,Montgomery St. BART
Fruitvale  BART,Montgomery St. BART
Glen Park BART,Montgomery St. BART
Hayward BART,Montgomery St. BART
Lafayette BART,Montgomery St. BART
Lake Merritt  BART,Montgomery St. BART
MacArthur  BART,Montgomery St. BART
Millbrae BART,Montgomery St. BART
North Berkeley BART,Montgomery St. BART
North Concord/Martinez BART,Montgomery St. BART
Orinda BART,Montgomery St. BART
Pittsburg/Bay Point BART,Montgomery St. BART
Pleasant Hill/Contra Costa Centre BART,Montgomery St. BART
Powell St. BART,Montgomery St. BART
Richmond BART,Montgomery St. BART
Rockridge  BART,Montgomery St. BART
San Bruno BART,Montgomery St. BART
San Francisco Int'l Airport BART,Montgomery St. BART
San Leandro BART,Montgomery St. BART
South Hayward BART,Montgomery St. BART
South San Francisco BART,Montgomery St. BART
Union City BART,Montgomery St. BART
Walnut Creek BART,Montgomery St. BART
West Dublin/Pleasanton BART,Montgomery St. BART
West Oakland BART,Montgomery St. BART
12th St. Oakland City Center BART,North Berkeley BART
16th St. Mission BART,North Berkeley BART
19th St. Oakland BART,North Berkeley BART
24th St. Mission BART,North Berkeley BART
Ashby BART,North Berkeley BART
Balboa Park BART,North Berkeley BART
Bay Fair  BART,North Berkeley BART
Castro Valley BART,North Berkeley BART
Civic Center/UN Plaza BART,North Berkeley BART
Coliseum/Oakland Airport BART,North Berkeley BART
Colma BART,North Berkeley BART
Concord BART,North Berkeley BART
Daly City BART,North Berkeley BART
Downtown Berkeley BART,North Berkeley BART
Dublin/Pleasanton BART,North Berkeley BART
El Cerrito del Norte BART,North Berkeley BART
El Cerrito Plaza BART,North Berkeley BART
Embarcadero BART,North Berkeley BART
Fremont BART,North Berkeley BART
Fruitvale  BART,North Berkeley BART
Glen Park BART,North Berkeley BART
Hayward BART,North Berkeley BART
Lafayette BART,North Berkeley BART
Lake Merritt  BART,North Berkeley BART
MacArthur  BART,North Berkeley BART
Millbrae BART,North Berkeley BART
Montgomery St. BART,North Berkeley BART
North Concord/Martinez BART,North Berkeley BART
Orinda BART,North Berkeley BART
Pittsburg/Bay Point BART,North Berkeley BART
Pleasant Hill/Contra Costa Centre BART,North Berkeley BART
Powell St. BART,North Berkeley BART
Richmond BART,North Berkeley BART
Rockridge  BART,North Berkeley BART
San Bruno BART,North Berkeley BART
San Francisco Int'l Airport BART,North Berkeley BART
San Leandro BART,North Berkeley BART
South Hayward BART,North Berkeley BART
South San Francisco BART,North Berkeley BART
Union City BART,North Berkeley BART
Walnut Creek BART,North Berkeley BART
West Dublin/Pleasanton BART,North Berkeley BART
West Oakland BART,North Berkeley BART
12th St. Oakland City Center BART,North Concord/Martinez BART
16th St. Mission BART,North Concord/Martinez BART
19th St. Oakland BART,North Concord/Martinez BART
24th St. Mission BART,North Concord/Martinez BART
Ashby BART,North Concord/Martinez BART
Balboa Park BART,North Concord/Martinez BART
Bay Fair  BART,North Concord/Martinez BART
Castro Valley BART,North Concord/Martinez BART
Civic Center/UN Plaza BART,North Concord/Martinez BART
Coliseum/Oakland Airport BART,North Concord/Martinez BART
Colma BART,North Concord/Martinez BART
Concord BART,North Concord/Martinez BART
Daly City BART,North Concord/Martinez BART
Downtown Berkeley BART,North Concord/Martinez BART
Dublin/Pleasanton BART,North Concord/Martinez BART
El Cerrito del Norte BART,North Concord/Martinez BART
El Cerrito Plaza BART,North Concord/Martinez BART
Embarcadero BART,North Concord/Martinez BART
Fremont BART,North Concord/Martinez BART
Fruitvale  BART,North Concord/Martinez BART
Glen Park BART,North Concord/Martinez BART
Hayward BART,North Concord/Martinez BART
Lafayette BART,North Concord/Martinez BART
Lake Merritt  BART,North Concord/Martinez BART
MacArthur  BART,North Concord/Martinez BART
Millbrae BART,North Concord/Martinez BART
Montgomery St. BART,North Concord/Martinez BART
North Berkeley BART,North Concord/Martinez BART
Orinda BART,North Concord/Martinez BART
Pittsburg/Bay Point BART,North Concord/Martinez BART
Pleasant Hill/Contra Costa Centre BART,North Concord/Martinez BART
Powell St. BART,North Concord/Martinez BART
Richmond BART,North Concord/Martinez BART
Rockridge  BART,North Concord/Martinez BART
San Bruno BART,North Concord/Martinez BART
San Francisco Int'l Airport BART,North Concord/Martinez BART
San Leandro BART,North Concord/Martinez BART
South Hayward BART,North Concord/Martinez BART
South San Francisco BART,North Concord/Martinez BART
Union City BART,North Concord/Martinez BART
Walnut Creek BART,North Concord/Martinez BART
West Dublin/Pleasanton BART,North Concord/Martinez BART
West Oakland BART,North Concord/Martinez BART
12th St. Oakland City Center BART,Orinda BART
16th St. Mission BART,Orinda BART
19th St. Oakland BART,Orinda BART
24th St. Mission BART,Orinda BART
Ashby BART,Orinda BART
Balboa Park BART,Orinda BART
Bay Fair  BART,Orinda BART
Castro Valley BART,Orinda BART
Civic Center/UN Plaza BART,Orinda BART
Coliseum/Oakland Airport BART,Orinda BART
Colma BART,Orinda BART
Concord BART,Orinda BART
Daly City BART,Orinda BART
Downtown Berkeley BART,Orinda BART
Dublin/Pleasanton BART,Orinda BART
El Cerrito del Norte BART,Orinda BART
El Cerrito Plaza BART,Orinda BART
Embarcadero BART,Orinda BART
Fremont BART,Orinda BART
Fruitvale  BART,Orinda BART
Glen Park BART,Orinda BART
Hayward BART,Orinda BART
Lafayette BART,Orinda BART
Lake Merritt  BART,Orinda BART
MacArthur  BART,Orinda BART
Millbrae BART,Orinda BART
Montgomery St. BART,Orinda BART
North Berkeley BART,Orinda BART
North Concord/Martinez BART,Orinda BART
Pittsburg/Bay Point BART,Orinda BART
Pleasant Hill/Contra Costa Centre BART,Orinda BART
Powell St. BART,Orinda BART
Richmond BART,Orinda BART
Rockridge  BART,Orinda BART
San Bruno BART,Orinda BART
San Francisco Int'l Airport BART,Orinda BART
