Start,End
San Leandro BART,Orinda BART
South Hayward BART,Orinda BART
South San Francisco BART,Orinda BART
Union City BART,Orinda BART
Walnut Creek BART,Orinda BART
West Dublin/Pleasanton BART,Orinda BART
West Oakland BART,Orinda BART
12th St. Oakland City Center BART,Pittsburg/Bay Point BART
16th St. Mission BART,Pittsburg/Bay Point BART
19th St. Oakland BART,Pittsburg/Bay Point BART
24th St. Mission BART,Pittsburg/Bay Point BART
Ashby BART,Pittsburg/Bay Point BART
Balboa Park BART,Pittsburg/Bay Point BART
Bay Fair  BART,Pittsburg/Bay Point BART
Castro Valley BART,Pittsburg/Bay Point BART
Civic Center/UN Plaza BART,Pittsburg/Bay Point BART
Coliseum/Oakland Airport BART,Pittsburg/Bay Point BART
Colma BART,Pittsburg/Bay Point BART
Concord BART,Pittsburg/Bay Point BART
Daly City BART,Pittsburg/Bay Point BART
Downtown Berkeley BART,Pittsburg/Bay Point BART
Dublin/Pleasanton BART,Pittsburg/Bay Point BART
El Cerrito del Norte BART,Pittsburg/Bay Point BART
El Cerrito Plaza BART,Pittsburg/Bay Point BART
Embarcadero BART,Pittsburg/Bay Point BART
Fremont BART,Pittsburg/Bay Point BART
Fruitvale  BART,Pittsburg/Bay Point BART
Glen Park BART,Pittsburg/Bay Point BART
Hayward BART,Pittsburg/Bay Point BART
Lafayette BART,Pittsburg/Bay Point BART
Lake Merritt  BART,Pittsburg/Bay Point BART
MacArthur  BART,Pittsburg/Bay Point BART
Millbrae BART,Pittsburg/Bay Point BART
Montgomery St. BART,Pittsburg/Bay Point BART
North Berkeley BART,Pittsburg/Bay Point BART
North Concord/Martinez BART,Pittsburg/Bay Point BART
Orinda BART,Pittsburg/Bay Point BART
Pleasant Hill/Contra Costa Centre BART,Pittsburg/Bay Point BART
Powell St. BART,Pittsburg/Bay Point BART
Richmond BART,Pittsburg/Bay Point BART
Rockridge  BART,Pittsburg/Bay Point BART
San Bruno BART,Pittsburg/Bay Point BART
San Francisco Int'l Airport BART,Pittsburg/Bay Point BART
San Leandro BART,Pittsburg/Bay Point BART
South Hayward BART,Pittsburg/Bay Point BART
South San Francisco BART,Pittsburg/Bay Point BART
Union City BART,Pittsburg/Bay Point BART
Walnut Creek BART,Pittsburg/Bay Point BART
West Dublin/Pleasanton BART,Pittsburg/Bay Point BART
West Oakland BART,Pittsburg/Bay Point BART
12th St. Oakland City Center BART,Pleasant Hill/Contra Costa Centre BART
16th St. Mission BART,Pleasant Hill/Contra Costa Centre BART
19th St. Oakland BART,Pleasant Hill/Contra Costa Centre BART
24th St. Mission BART,Pleasant Hill/Contra Costa Centre BART
Ashby BART,Pleasant Hill/Contra Costa Centre BART
Balboa Park BART,Pleasant Hill/Contra Costa Centre BART
Bay Fair  BART,Pleasant Hill/Contra Costa Centre BART
Castro Valley BART,Pleasant Hill/Contra Costa Centre BART
Civic Center/UN Plaza BART,Pleasant Hill/Contra Costa Centre BART
Coliseum/Oakland Airport BART,Pleasant Hill/Contra Costa Centre BART
Colma BART,Pleasant Hill/Contra Costa Centre BART
Concord BART,Pleasant Hill/Contra Costa Centre BART
Daly City BART,Pleasant Hill/Contra Costa Centre BART
Downtown Berkeley BART,Pleasant Hill/Contra Costa Centre BART
Dublin/Pleasanton BART,Pleasant Hill/Contra Costa Centre BART
El Cerrito del Norte BART,Pleasant Hill/Contra Costa Centre BART
El Cerrito Plaza BART,Pleasant Hill/Contra Costa Centre BART
Embarcadero BART,Pleasant Hill/Contra Costa Centre BART
Fremont BART,Pleasant Hill/Contra Costa Centre BART
Fruitvale  BART,Pleasant Hill/Contra Costa Centre BART
Glen Park BART,Pleasant Hill/Contra Costa Centre BART
Hayward BART,Pleasant Hill/Contra Costa Centre BART
Lafayette BART,Pleasant Hill/Contra Costa Centre BART
Lake Merritt  BART,Pleasant Hill/Contra Costa Centre BART
MacArthur  BART,Pleasant Hill/Contra Costa Centre BART
Millbrae BART,Pleasant Hill/Contra Costa Centre BART
Montgomery St. BART,Pleasant Hill/Contra Costa Centre BART
North Berkeley BART,Pleasant Hill/Contra Costa Centre BART
North Concord/Martinez BART,Pleasant Hill/Contra Costa Centre BART
Orinda BART,Pleasant Hill/Contra Costa Centre BART
Pittsburg/Bay Point BART,Pleasant Hill/Contra Costa Centre BART
Powell St. BART,Pleasant Hill/Contra Costa Centre BART
Richmond BART,Pleasant Hill/Contra Costa Centre BART
Rockridge  BART,Pleasant Hill/Contra Costa Centre BART
San Bruno BART,Pleasant Hill/Contra Costa Centre BART
San Francisco Int'l Airport BART,Pleasant Hill/Contra Costa Centre BART
San Leandro BART,Pleasant Hill/Contra Costa Centre BART
South Hayward BART,Pleasant Hill/Contra Costa Centre BART
South San Francisco BART,Pleasant Hill/Contra Costa Centre BART
Union City BART,Pleasant Hill/Contra Costa Centre BART
Walnut Creek BART,Pleasant Hill/Contra Costa Centre BART
West Dublin/Pleasanton BART,Pleasant Hill/Contra Costa Centre BART
West Oakland BART,Pleasant Hill/Contra Costa Centre BART
12th St. Oakland City Center BART,Powell St. BART
16th St. Mission BART,Powell St. BART
19th St. Oakland BART,Powell St. BART
24th St. Mission BART,Powell St. BART
Ashby BART,Powell St. BART
Balboa Park BART,Powell St. BART
Bay Fair  BART,Powell St. BART
Castro Valley BART,Powell St. BART
Civic Center/UN Plaza BART,Powell St. BART
Coliseum/Oakland Airport BART,Powell St. BART
Colma BART,Powell St. BART
Concord BART,Powell St. BART
Daly City BART,Powell St. BART
Downtown Berkeley BART,Powell St. BART
Dublin/Pleasanton BART,Powell St. BART
El Cerrito del Norte BART,Powell St. BART
El Cerrito Plaza BART,Powell St. BART
Embarcadero BART,Powell St. BART
Fremont BART,Powell St. BART
Fruitvale  BART,Powell St. BART
Glen Park BART,Powell St. BART
Hayward BART,Powell St. BART
Lafayette BART,Powell St. BART
Lake Merritt  BART,Powell St. BART
MacArthur  BART,Powell St. BART
Millbrae BART,Powell St. BART
Montgomery St. BART,Powell St. BART
North Berkeley BART,Powell St. BART
North Concord/Martinez BART,Powell St. BART
Orinda BART,Powell St. BART
Pittsburg/Bay Point BART,Powell St. BART
Pleasant Hill/Contra Costa Centre BART,Powell St. BART
Richmond BART,Powell St. BART
Rockridge  BART,Powell St. BART
San Bruno BART,Powell St. BART
San Francisco Int'l Airport BART,Powell St. BART
San Leandro BART,Powell St. BART
South Hayward BART,Powell St. BART
South San Francisco BART,Powell St. BART
Union City BART,Powell St. BART
Walnut Creek BART,Powell St. BART
West Dublin/Pleasanton BART,Powell St. BART
West Oakland BART,Powell St. BART
12th St. Oakland City Center BART,Richmond BART
16th St. Mission BART,Richmond BART
19th St. Oakland BART,Richmond BART
24th St. Mission BART,Richmond BART
Ashby BART,Richmond BART
Balboa Park BART,Richmond BART
Bay Fair  BART,Richmond BART
Castro Valley BART,Richmond BART
Civic Center/UN Plaza BART,Richmond BART
Coliseum/Oakland Airport BART,Richmond BART
Colma BART,Richmond BART
Concord BART,Richmond BART
Daly City BART,Richmond BART
Downtown Berkeley BART,Richmond BART
Dublin/Pleasanton BART,Richmond BART
El Cerrito del Norte BART,Richmond BART
El Cerrito Plaza BART,Richmond BART
Embarcadero BART,Richmond BART
Fremont BART,Richmond BART
Fruitvale  BART,Richmond BART
Glen Park BART,Richmond BART
Hayward BART,Richmond BART
Lafayette BART,Richmond BART
Lake Merritt  BART,Richmond BART
MacArthur  BART,Richmond BART
Millbrae BART,Richmond BART
Montgomery St. BART,Richmond BART
North Berkeley BART,Richmond BART
North Concord/Martinez BART,Richmond BART
Orinda BART,Richmond BART
Pittsburg/Bay Point BART,Richmond BART
Pleasant Hill/Contra Costa Centre BART,Richmond BART
Powell St. BART,Richmond BART
Rockridge  BART,Richmond BART
San Bruno BART,Richmond BART
San Francisco Int'l Airport BART,Richmond BART
San Leandro BART,Richmond BART
South Hayward BART,Richmond BART
South San Francisco BART,Richmond BART
Union City BART,Richmond BART
Walnut Creek BART,Richmond BART
West Dublin/Pleasanton BART,Richmond BART
West Oakland BART,Richmond BART
12th St. Oakland City Center BART,Rockridge  BART
16th St. Mission BART,Rockridge  BART
19th St. Oakland BART,Rockridge  BART
24th St. Mission BART,Rockridge  BART
Ashby BART,Rockridge  BART
Balboa Park BART,Rockridge  BART
Bay Fair  BART,Rockridge  BART
Castro Valley BART,Rockridge  BART
Civic Center/UN Plaza BART,Rockridge  BART
Coliseum/Oakland Airport BART,Rockridge  BART
Colma BART,Rockridge  BART
Concord BART,Rockridge  BART
Daly City BART,Rockridge  BART
Downtown Berkeley BART,Rockridge  BART
Dublin/Pleasanton BART,Rockridge  BART
El Cerrito del Norte BART,Rockridge  BART
El Cerrito Plaza BART,Rockridge  BART
Embarcadero BART,Rockridge  BART
Fremont BART,Rockridge  BART
Fruitvale  BART,Rockridge  BART
Glen Park BART,Rockridge  BART
Hayward BART,Rockridge  BART
Lafayette BART,Rockridge  BART
Lake Merritt  BART,Rockridge  BART
MacArthur  BART,Rockridge  BART
Millbrae BART,Rockridge  BART
Montgomery St. BART,Rockridge  BART
North Berkeley BART,Rockridge  BART
North Concord/Martinez BART,Rockridge  BART
Orinda BART,Rockridge  BART
Pittsburg/Bay Point BART,Rockridge  BART
Pleasant Hill/Contra Costa Centre BART,Rockridge  BART
Powell St. BART,Rockridge  BART
Richmond BART,Rockridge  BART
San Bruno BART,Rockridge  BART
San Francisco Int'l Airport BART,Rockridge  BART
San Leandro BART,Rockridge  BART
South Hayward BART,Rockridge  BART
South San Francisco BART,Rockridge  BART
Union City BART,Rockridge  BART
Walnut Creek BART,Rockridge  BART
West Dublin/Pleasanton BART,Rockridge  BART
West Oakland BART,Rockridge  BART
12th St. Oakland City Center BART,San Bruno BART
16th St. Mission BART,San Bruno BART
19th St. Oakland BART,San Bruno BART
24th St. Mission BART,San Bruno BART
Ashby BART,San Bruno BART
Balboa Park BART,San Bruno BART
Bay Fair  BART,San Bruno BART
Castro Valley BART,San Bruno BART
Civic Center/UN Plaza BART,San Bruno BART
Coliseum/Oakland Airport BART,San Bruno BART
Colma BART,San Bruno BART
Concord BART,San Bruno BART
Daly City BART,San Bruno BART
Downtown Berkeley BART,San Bruno BART
Dublin/Pleasanton BART,San Bruno BART
El Cerrito del Norte BART,San Bruno BART
El Cerrito Plaza BART,San Bruno BART
Embarcadero BART,San Bruno BART
Fremont BART,San Bruno BART
Fruitvale  BART,San Bruno BART
Glen Park BART,San Bruno BART
Hayward BART,San Bruno BART
Lafayette BART,San Bruno BART
Lake Merritt  BART,San Bruno BART
MacArthur  BART,San Bruno BART
Millbrae BART,San Bruno BART
Montgomery St. BART,San Bruno BART
North Berkeley BART,San Bruno BART
North Concord/Martinez BART,San Bruno BART
Orinda BART,San Bruno BART
Pittsburg/Bay Point BART,San Bruno BART
Pleasant Hill/Contra Costa Centre BART,San Bruno BART
Powell St. BART,San Bruno BART
Richmond BART,San Bruno BART
Rockridge  BART,San Bruno BART
San Francisco Int'l Airport BART,San Bruno BART
San Leandro BART,San Bruno BART
South Hayward BART,San Bruno BART
South San Francisco BART,San Bruno BART
Union City BART,San Bruno BART
Walnut Creek BART,San Bruno BART
West Dublin/Pleasanton BART,San Bruno BART
West Oakland BART,San Bruno BART
12th St. Oakland City Center BART,San Francisco Int'l Airport BART
16th St. Mission BART,San Francisco Int'l Airport BART
19th St. Oakland BART,San Francisco Int'l Airport BART
24th St. Mission BART,San Francisco Int'l Airport BART
Ashby BART,San Francisco Int'l Airport BART
Balboa Park BART,San Francisco Int'l Airport BART
Bay Fair  BART,San Francisco Int'l Airport BART
Castro Valley BART,San Francisco Int'l Airport BART
Civic Center/UN Plaza BART,San Francisco Int'l Airport BART
Coliseum/Oakland Airport BART,San Francisco Int'l Airport BART
Colma BART,San Francisco Int'l Airport BART
Concord BART,San Francisco Int'l Airport BART
Daly City BART,San Francisco Int'l Airport BART
Downtown Berkeley BART,San Francisco Int'l Airport BART
Dublin/Pleasanton BART,San Francisco Int'l Airport BART
El Cerrito del Norte BART,San Francisco Int'l Airport BART
El Cerrito Plaza BART,San Francisco Int'l Airport BART
Embarcadero BART,San Francisco Int'l Airport BART
Fremont BART,San Francisco Int'l Airport BART
Fruitvale  BART,San Francisco Int'l Airport BART
Glen Park BART,San Francisco Int'l Airport BART
Hayward BART,San Francisco Int'l Airport BART
Lafayette BART,San Francisco Int'l Airport BART
Lake Merritt  BART,San Francisco Int'l Airport BART
MacArthur  BART,San Francisco Int'l Airport BART
Millbrae BART,San Francisco Int'l Airport BART
Montgomery St. BART,San Francisco Int'l Airport BART
North Berkeley BART,San Francisco Int'l Airport BART
North Concord/Martinez BART,San Francisco Int'l Airport BART
Orinda BART,San Francisco Int'l Airport BART
Pittsburg/Bay Point BART,San Francisco Int'l Airport BART
Pleasant Hill/Contra Costa Centre BART,San Francisco Int'l Airport BART
Powell St. BART,San Francisco Int'l Airport BART
Richmond BART,San Francisco Int'l Airport BART
Rockridge  BART,San Francisco Int'l Airport BART
San Bruno BART,San Francisco Int'l Airport BART
San Leandro BART,San Francisco Int'l Airport BART
South Hayward BART,San Francisco Int'l Airport BART
South San Francisco BART,San Francisco Int'l Airport BART
Union City BART,San Francisco Int'l Airport BART
Walnut Creek BART,San Francisco Int'l Airport BART
West Dublin/Pleasanton BART,San Francisco Int'l Airport BART
West Oakland BART,San Francisco Int'l Airport BART
12th St. Oakland City Center BART,San Leandro BART
16th St. Mission BART,San Leandro BART
19th St. Oakland BART,San Leandro BART
24th St. Mission BART,San Leandro BART
Ashby BART,San Leandro BART
Balboa Park BART,San Leandro BART
Bay Fair  BART,San Leandro BART
Castro Valley BART,San Leandro BART
Civic Center/UN Plaza BART,San Leandro BART
Coliseum/Oakland Airport BART,San Leandro BART
Colma BART,San Leandro BART
Concord BART,San Leandro BART
Daly City BART,San Leandro BART
Downtown Berkeley BART,San Leandro BART
Dublin/Pleasanton BART,San Leandro BART
El Cerrito del Norte BART,San Leandro BART
El Cerrito Plaza BART,San Leandro BART
Embarcadero BART,San Leandro BART
Fremont BART,San Leandro BART
Fruitvale  BART,San Leandro BART
Glen Park BART,San Leandro BART
Hayward BART,San Leandro BART
Lafayette BART,San Leandro BART
Lake Merritt  BART,San Leandro BART
MacArthur  BART,San Leandro BART
Millbrae BART,San Leandro BART
Montgomery St. BART,San Leandro BART
North Berkeley BART,San Leandro BART
North Concord/Martinez BART,San Leandro BART
Orinda BART,San Leandro BART
Pittsburg/Bay Point BART,San Leandro BART
Pleasant Hill/Contra Costa Centre BART,San Leandro BART
Powell St. BART,San Leandro BART
Richmond BART,San Leandro BART
Rockridge  BART,San Leandro BART
San Bruno BART,San Leandro BART
San Francisco Int'l Airport BART,San Leandro BART
South Hayward BART,San Leandro BART
South San Francisco BART,San Leandro BART
Union City BART,San Leandro BART
Walnut Creek BART,San Leandro BART
West Dublin/Pleasanton BART,San Leandro BART
West Oakland BART,San Leandro BART
12th St. Oakland City Center BART,South Hayward BART
16th St. Mission BART,South Hayward BART
19th St. Oakland BART,South Hayward BART
24th St. Mission BART,South Hayward BART
Ashby BART,South Hayward BART
Balboa Park BART,South Hayward BART
Bay Fair  BART,South Hayward BART
Castro Valley BART,South Hayward BART
Civic Center/UN Plaza BART,South Hayward BART
Coliseum/Oakland Airport BART,South Hayward BART
Colma BART,South Hayward BART
Concord BART,South Hayward BART
Daly City BART,South Hayward BART
Downtown Berkeley BART,South Hayward BART
Dublin/Pleasanton BART,South Hayward BART
El Cerrito del Norte BART,South Hayward BART
El Cerrito Plaza BART,South Hayward BART
Embarcadero BART,South Hayward BART
Fremont BART,South Hayward BART
Fruitvale  BART,South Hayward BART
Glen Park BART,South Hayward BART
Hayward BART,South Hayward BART
Lafayette BART,South Hayward BART
Lake Merritt  BART,South Hayward BART
MacArthur  BART,South Hayward BART
Millbrae BART,South Hayward BART
Montgomery St. BART,South Hayward BART
North Berkeley BART,South Hayward BART
North Concord/Martinez BART,South Hayward BART
Orinda BART,South Hayward BART
Pittsburg/Bay Point BART,South Hayward BART
Pleasant Hill/Contra Costa Centre BART,South Hayward BART
Powell St. BART,South Hayward BART
Richmond BART,South Hayward BART
Rockridge  BART,South Hayward BART
San Bruno BART,South Hayward BART
San Francisco Int'l Airport BART,South Hayward BART
San Leandro BART,South Hayward BART
South San Francisco BART,South Hayward BART
Union City BART,South Hayward BART
Walnut Creek BART,South Hayward BART
West Dublin/Pleasanton BART,South Hayward BART
West Oakland BART,South Hayward BART
12th St. Oakland City Center BART,South San Francisco BART
16th St. Mission BART,South San Francisco BART
19th St. Oakland BART,South San Francisco BART
24th St. Mission BART,South San Francisco BART
Ashby BART,South San Francisco BART
Balboa Park BART,South San Francisco BART
Bay Fair  BART,South San Francisco BART
Castro Valley BART,South San Francisco BART
Civic Center/UN Plaza BART,South San Francisco BART
Coliseum/Oakland Airport BART,South San Francisco BART
Colma BART,South San Francisco BART
Concord BART,South San Francisco BART
Daly City BART,South San Francisco BART
Downtown Berkeley BART,South San Francisco BART
Dublin/Pleasanton BART,South San Francisco BART
El Cerrito del Norte BART,South San Francisco BART
El Cerrito Plaza BART,South San Francisco BART
Embarcadero BART,South San Francisco BART
Fremont BART,South San Francisco BART
Fruitvale  BART,South San Francisco BART
Glen Park BART,South San Francisco BART
Hayward BART,South San Francisco BART
Lafayette BART,South San Francisco BART
Lake Merritt  BART,South San Francisco BART
MacArthur  BART,South San Francisco BART
Millbrae BART,South San Francisco BART
Montgomery St. BART,South San Francisco BART
North Berkeley BART,South San Francisco BART
North Concord/Martinez BART,South San Francisco BART
Orinda BART,South San Francisco BART
Pittsburg/Bay Point BART,South San Francisco BART
Pleasant Hill/Contra Costa Centre BART,South San Francisco BART
Powell St. BART,South San Francisco BART
Richmond BART,South San Francisco BART
Rockridge  BART,South San Francisco BART
San Bruno BART,South San Francisco BART
San Francisco Int'l Airport BART,South San Francisco BART
San Leandro BART,South San Francisco BART
South Hayward BART,South San Francisco BART
Union City BART,South San Francisco BART
Walnut Creek BART,South San Francisco BART
West Dublin/Pleasanton BART,South San Francisco BART
West Oakland BART,South San Francisco BART
12th St. Oakland City Center BART,Union City BART
16th St. Mission BART,Union City BART
19th St. Oakland BART,Union City BART
24th St. Mission BART,Union City BART
Ashby BART,Union City BART
Balboa Park BART,Union City BART
Bay Fair  BART,Union City BART
Castro Valley BART,Union City BART
Civic Center/UN Plaza BART,Union City BART
Coliseum/Oakland Airport BART,Union City BART
Colma BART,Union City BART
Concord BART,Union City BART
Daly City BART,Union City BART
Downtown Berkeley BART,Union City BART
Dublin/Pleasanton BART,Union City BART
El Cerrito del Norte BART,Union City BART
El Cerrito Plaza BART,Union City BART
Embarcadero BART,Union City BART
Fremont BART,Union City BART
Fruitvale  BART,Union City BART
Glen Park BART,Union City BART
Hayward BART,Union City BART
Lafayette BART,Union City BART
Lake Merritt  BART,Union City BART
MacArthur  BART,Union City BART
Millbrae BART,Union City BART
Montgomery St. BART,Union City BART
North Berkeley BART,Union City BART
North Concord/Martinez BART,Union City BART
Orinda BART,Union City BART
Pittsburg/Bay Point BART,Union City BART
Pleasant Hill/Contra Costa Centre BART,Union City BART
Powell St. BART,Union City BART
Richmond BART,Union City BART
Rockridge  BART,Union City BART
San Bruno BART,Union City BART
San Francisco Int'l Airport BART,Union City BART
San Leandro BART,Union City BART
South Hayward BART,Union City BART
South San Francisco BART,Union City BART
Walnut Creek BART,Union City BART
West Dublin/Pleasanton BART,Union City BART
West Oakland BART,Union City BART
12th St. Oakland City Center BART,Walnut Creek BART
16th St. Mission BART,Walnut Creek BART
19th St. Oakland BART,Walnut Creek BART
24th St. Mission BART,Walnut Creek BART
Ashby BART,Walnut Creek BART
Balboa Park BART,Walnut Creek BART
Bay Fair  BART,Walnut Creek BART
Castro Valley BART,Walnut Creek BART
Civic Center/UN Plaza BART,Walnut Creek BART
Coliseum/Oakland Airport BART,Walnut Creek BART
Colma BART,Walnut Creek BART
Concord BART,Walnut Creek BART
Daly City BART,Walnut Creek BART
Downtown Berkeley BART,Walnut Creek BART
Dublin/Pleasanton BART,Walnut Creek BART
El Cerrito del Norte BART,Walnut Creek BART
El Cerrito Plaza BART,Walnut Creek BART
Embarcadero BART,Walnut Creek BART
Fremont BART,Walnut Creek BART
Fruitvale  BART,Walnut Creek BART
Glen Park BART,Walnut Creek BART
Hayward BART,Walnut Creek BART
Lafayette BART,Walnut Creek BART
Lake Merritt  BART,Walnut Creek BART
MacArthur  BART,Walnut Creek BART
Millbrae BART,Walnut Creek BART
Montgomery St. BART,Walnut Creek BART
North Berkeley BART,Walnut Creek BART
North Concord/Martinez BART,Walnut Creek BART
Orinda BART,Walnut Creek BART
Pittsburg/Bay Point BART,Walnut Creek BART
Pleasant Hill/Contra Costa Centre BART,Walnut Creek BART
Powell St. BART,Walnut Creek BART
Richmond BART,Walnut Creek BART
Rockridge  BART,Walnut Creek BART
San Bruno BART,Walnut Creek BART
San Francisco Int'l Airport BART,Walnut Creek BART
San Leandro BART,Walnut Creek BART
South Hayward BART,Walnut Creek BART
South San Francisco BART,Walnut Creek BART
Union City BART,Walnut Creek BART
West Dublin/Pleasanton BART,Walnut Creek BART
West Oakland BART,Walnut Creek BART
12th St. Oakland City Center BART,West Dublin/Pleasanton BART
16th St. Mission BART,West Dublin/Pleasanton BART
19th St. Oakland BART,West Dublin/Pleasanton BART
24th St. Mission BART,West Dublin/Pleasanton BART
Ashby BART,West Dublin/Pleasanton BART
Balboa Park BART,West Dublin/Pleasanton BART
Bay Fair  BART,West Dublin/Pleasanton BART
Castro Valley BART,West Dublin/Pleasanton BART
Civic Center/UN Plaza BART,West Dublin/Pleasanton BART
Coliseum/Oakland Airport BART,West Dublin/Pleasanton BART
Colma BART,West Dublin/Pleasanton BART
Concord BART,West Dublin/Pleasanton BART
Daly City BART,West Dublin/Pleasanton BART
Downtown Berkeley BART,West Dublin/Pleasanton BART
Dublin/Pleasanton BART,West Dublin/Pleasanton BART
El Cerrito del Norte BART,West Dublin/Pleasanton BART
El Cerrito Plaza BART,West Dublin/Pleasanton BART
Embarcadero BART,West Dublin/Pleasanton BART
Fremont BART,West Dublin/Pleasanton BART
Fruitvale  BART,West Dublin/Pleasanton BART
Glen Park BART,West Dublin/Pleasanton BART
Hayward BART,West Dublin/Pleasanton BART
Lafayette BART,West Dublin/Pleasanton BART
Lake Merritt  BART,West Dublin/Pleasanton BART
MacArthur  BART,West Dublin/Pleasanton BART
Millbrae BART,West Dublin/Pleasanton BART
Montgomery St. BART,West Dublin/Pleasanton BART
North Berkeley BART,West Dublin/Pleasanton BART
North Concord/Martinez BART,West Dublin/Pleasanton BART
Orinda BART,West Dublin/Pleasanton BART
Pittsburg/Bay Point BART,West Dublin/Pleasanton BART
Pleasant Hill/Contra Costa Centre BART,West Dublin/Pleasanton BART
Powell St. BART,West Dublin/Pleasanton BART
Richmond BART,West Dublin/Pleasanton BART
Rockridge  BART,West Dublin/Pleasanton BART
San Bruno BART,West Dublin/Pleasanton BART
San Francisco Int'l Airport BART,West Dublin/Pleasanton BART
San Leandro BART,West Dublin/Pleasanton BART
South Hayward BART,West Dublin/Pleasanton BART
South San Francisco BART,West Dublin/Pleasanton BART
Union City BART,West Dublin/Pleasanton BART
Walnut Creek BART,West Dublin/Pleasanton BART
West Oakland BART,West Dublin/Pleasanton BART
12th St. Oakland City Center BART,West Oakland BART
16th St. Mission BART,West Oakland BART
19th St. Oakland BART,West Oakland BART
24th St. Mission BART,West Oakland BART
Ashby BART,West Oakland BART
Balboa Park BART,West Oakland BART
Bay Fair  BART,West Oakland BART
Castro Valley BART,West Oakland BART
Civic Center/UN Plaza BART,West Oakland BART
Coliseum/Oakland Airport BART,West Oakland BART
Colma BART,West Oakland BART
Concord BART,West Oakland BART
Daly City BART,West Oakland BART
Downtown Berkeley BART,West Oakland BART
Dublin/Pleasanton BART,West Oakland BART
El Cerrito del Norte BART,West Oakland BART
El Cerrito Plaza BART,West Oakland BART
Embarcadero BART,West Oakland BART
Fremont BART,West Oakland BART
Fruitvale  BART,West Oakland BART
Glen Park BART,West Oakland BART
Hayward BART,West Oakland BART
Lafayette BART,West Oakland BART
Lake Merritt  BART,West Oakland BART
MacArthur  BART,West Oakland BART
Millbrae BART,West Oakland BART
Montgomery St. BART,West Oakland BART
North Berkeley BART,West Oakland BART
North Concord/Martinez BART,West Oakland BART
Orinda BART,West Oakland BART
Pittsburg/Bay Point BART,West Oakland BART
Pleasant Hill/Contra Costa Centre BART,West Oakland BART
Powell St. BART,West Oakland BART
Richmond BART,West Oakland BART
Rockridge  BART,West Oakland BART
San Bruno BART,West Oakland BART
San Francisco Int'l Airport BART,West Oakland BART
San Leandro BART,West Oakland BART
South Hayward BART,West Oakland BART
South San Francisco BART,West Oakland BART
Union City BART,West Oakland BART
Walnut Creek BART,West Oakland BART
West Dublin/Pleasanton BART,West Oakland BART
